NBCI_TAX_Genus	NBCI_TAX_Species	Suggested_IUCN_Genus	Suggested_IUCN_Species
Ctenomys	lewisi	Ctenomys	lewisi
Ctenomys	magellanicus	Ctenomys	magellanicus
Ctenomys	maulinus	Ctenomys	maulinus
Ctenomys	mendocinus	Ctenomys	mendocinus
Ctenomys	minutus	Ctenomys	minutus
Ctenomys	nattereri	Delete	Delete
Ctenomys	occultus	Ctenomys	occultus
Ctenomys	opimus	Ctenomys	opimus
Ctenomys	pearsoni	Ctenomys	pearsoni
Ctenomys	perrensi	Ctenomys	perrensi
Ctenomys	pilarensis	Ctenomys	pilarensis
Ctenomys	porteousi	Ctenomys	porteousi
Ctenomys	pundti	Ctenomys	pundti
Ctenomys	rionegrensis	Ctenomys	rionegrensis
Ctenomys	roigi	Ctenomys	roigi
Ctenomys	rosendopascuali	Delete	Delete
Ctenomys	scagliai	Ctenomys	scagliai
Ctenomys	sericeus	Ctenomys	sericeus
Ctenomys	sociabilis	Ctenomys	sociabilis
Ctenomys	steinbachi	Ctenomys	steinbachi
Ctenomys	talarum	Ctenomys	talarum
Ctenomys	torquatus	Ctenomys	torquatus
Ctenomys	tuconax	Ctenomys	tuconax
Ctenomys	tucumanus	Ctenomys	tucumanus
Ctenomys	yolandae	Ctenomys	yolandae
Cuniculus	paca	Cuniculus	paca
Cuniculus	taczanowskii	Cuniculus	taczanowskii
Cuon	alpinus	Cuon	alpinus
Cyclopes	didactylus	Cyclopes	didactylus
Cynictis	penicillata	Cynictis	penicillata
Cynocephalus	volans	Cynocephalus	volans
Cynomops	abrasus	Cynomops	abrasus
Cynomys	leucurus	Cynomys	leucurus
Cynomys	mexicanus	Cynomys	mexicanus
Cynomys	parvidens	Cynomys	parvidens
Cynopterus	brachyotis	Cynopterus	brachyotis
Cynopterus	nusatenggara	Cynopterus	nusatenggara
Cynopterus	sphinx	Cynopterus	sphinx
Cynopterus	titthaecheilus	Cynopterus	titthaecheilus
Cystophora	cristata	Cystophora	cristata
Dactylomys	boliviensis	Dactylomys	boliviensis
Dactylomys	dactylinus	Dactylomys	dactylinus
Dactylomys	peruanus	Dactylomys	peruanus
Dactylopsila	palpator	Dactylonax	palpator
Dactylopsila	trivirgata	Dactylopsila	trivirgata
Dama	dama	Dama	dama
Dama	mesopotamica	Dama	mesopotamica
Damaliscus	lunatus	Damaliscus	lunatus
Damaliscus	pygargus	Damaliscus	pygargus
Dasycercus	cristicauda	Dasycercus	cristicauda
Dasykaluta	rosamondae	Dasykaluta	rosamondae
Dasymys	incomtus	Dasymys	incomtus
Dasymys	rufulus	Dasymys	rufulus
Dasyprocta	leporina	Dasyprocta	leporina
Dasyprocta	punctata	Dasyprocta	punctata
Dasypus	kappleri	Dasypus	kappleri
Dasypus	novemcinctus	Dasypus	novemcinctus
Dasyuroides	byrnei	Dasyuroides	byrnei
Dasyurus	albopunctatus	Dasyurus	albopunctatus
Dasyurus	geoffroii	Dasyurus	geoffroii
Dasyurus	hallucatus	Dasyurus	hallucatus
Dasyurus	maculatus	Dasyurus	maculatus
Dasyurus	spartacus	Dasyurus	spartacus
Dasyurus	viverrinus	Dasyurus	viverrinus
Daubentonia	madagascariensis	Daubentonia	madagascariensis
Delomys	sublineatus	Delomys	sublineatus
Delphinapterus	leucas	Delphinapterus	leucas
Delphinus	capensis	Delphinus	capensis
Delphinus	delphis	Delphinus	delphis
Delphinus	tropicalis	Delete	Delete
Dendrogale	melanura	Dendrogale	melanura
Dendrogale	murina	Dendrogale	murina
Dendrohyrax	dorsalis	Dendrohyrax	dorsalis
Dendrolagus	bennettianus	Dendrolagus	bennettianus
Dendrolagus	dorianus	Dendrolagus	dorianus
Dendrolagus	goodfellowi	Dendrolagus	goodfellowi
Dendrolagus	inustus	Dendrolagus	inustus
Dendrolagus	lumholtzi	Dendrolagus	lumholtzi
Dendrolagus	matschiei	Dendrolagus	matschiei
Dendrolagus	spadix	Dendrolagus	spadix
Dendromus	mesomelas	Dendromus	mesomelas
Deomys	ferrugineus	Deomys	ferrugineus
Desmalopex	leucopterus	Pteropus	leucopterus
Desmodilliscus	braueri	Desmodilliscus	braueri
Desmodillus	auricularis	Desmodillus	auricularis
Desmodus	rotundus	Desmodus	rotundus
Desmomys	harringtoni	Desmomys	harringtoni
Dicerorhinus	sumatrensis	Dicerorhinus	sumatrensis
Diceros	bicornis	Diceros	bicornis
Dicrostonyx	groenlandicus	Dicrostonyx	groenlandicus
Dicrostonyx	hudsonius	Dicrostonyx	hudsonius
Dicrostonyx	richardsoni	Dicrostonyx	richardsoni
Dicrostonyx	torquatus	Dicrostonyx	torquatus
Didelphis	albiventris	Didelphis	albiventris
Didelphis	aurita	Didelphis	aurita
Didelphis	imperfecta	Didelphis	imperfecta
Didelphis	marsupialis	Didelphis	marsupialis
Didelphis	pernigra	Didelphis	pernigra
Didelphis	virginiana	Didelphis	virginiana
Dinomys	branickii	Dinomys	branickii
Diplomesodon	pulchellum	Diplomesodon	pulchellum
Diplothrix	legata	Diplothrix	legata
Dipodillus	dasyurus	Gerbillus	dasyurus
Dipodomys	agilis	Dipodomys	agilis
Dipodomys	californicus	Dipodomys	californicus
Dipodomys	compactus	Dipodomys	compactus
Dipodomys	deserti	Dipodomys	deserti
Dipodomys	elator	Dipodomys	elator
Dipodomys	elephantinus	Delete	Delete
Dipodomys	heermanni	Dipodomys	heermanni
Dipodomys	ingens	Dipodomys	ingens
Dipodomys	insularis	Dipodomys	insularis
Dipodomys	merriami	Dipodomys	merriami
Dipodomys	microps	Dipodomys	microps
Dipodomys	nelsoni	Dipodomys	nelsoni
Dipodomys	nitratoides	Dipodomys	nitratoides
Dipodomys	ordii	Dipodomys	ordii
Dipodomys	panamintinus	Dipodomys	panamintinus
Dipodomys	phillipsii	Dipodomys	phillipsii
Dipodomys	simulans	Dipodomys	simulans
Dipodomys	spectabilis	Dipodomys	spectabilis
Dipodomys	stephensi	Dipodomys	stephensi
Dipodomys	venustus	Dipodomys	venustus
Dipus	sagitta	Dipus	sagitta
Distoechurus	pennatus	Distoechurus	pennatus
Dobsonia	andersoni	Dobsonia	anderseni
Dobsonia	inermis	Dobsonia	inermis
Dobsonia	minor	Dobsonia	minor
Dobsonia	moluccensis	Dobsonia	moluccensis
Dobsonia	pannietensis	Dobsonia	pannietensis
Dobsonia	praedatrix	Dobsonia	praedatrix
Dobsonia	viridis	Dobsonia	viridis
Dolichotis	patagonum	Dolichotis	patagonum
Dolichotis	salinicola	Dolichotis	salinicola
Dorcatragus	megalotis	Dorcatragus	megalotis
Dorcopsis	hageni	Dorcopsis	hageni
Dorcopsulus	vanheurni	Dorcopsulus	vanheurni
Dremomys	gularis	Dremomys	gularis
Dremomys	lokriah	Dremomys	lokriah
Dremomys	pernyi	Dremomys	pernyi
Dremomys	pyrrhomerus	Dremomys	pyrrhomerus
Dremomys	rufigenis	Dremomys	rufigenis
Dromiciops	gliroides	Dromiciops	gliroides
Dryomys	laniger	Dryomys	laniger
Dryomys	nitedula	Dryomys	nitedula
Dugong	dugon	Dugong	dugon
Dusicyon	thous	Cerdocyon	thous
Dyacopterus	spadiceus	Dyacopterus	spadiceus
Echimys	chrysurus	Echimys	chrysurus
Echimys	semivillosus	Pattonomys	semivillosus
Echinops	telfairi	Echinops	telfairi
Echinosorex	gymnura	Echinosorex	gymnura
Echymipera	clara	Echymipera	clara
Echymipera	kalubu	Echymipera	kalubu
Echymipera	rufescens	Echymipera	rufescens
Eidolon	helvum	Eidolon	helvum
Eira	barbara	Eira	barbara
Elaphodus	cephalophus	Elaphodus	cephalophus
Elaphurus	davidianus	Elaphurus	davidianus
Elephantulus	brachyrhynchus	Elephantulus	brachyrhynchus
Elephantulus	edwardii	Elephantulus	edwardii
Elephantulus	fuscipes	Elephantulus	fuscipes
Elephantulus	fuscus	Elephantulus	fuscus
Elephantulus	intufi	Elephantulus	intufi
Elephantulus	myurus	Elephantulus	myurus
Elephantulus	revoili	Elephantulus	revoilii
Elephantulus	rozeti	Elephantulus	rozeti
Elephantulus	rufescens	Elephantulus	rufescens
Elephantulus	rupestris	Elephantulus	rupestris
Elephas	maximus	Elephas	maximus
Eliomys	melanurus	Eliomys	melanurus
Eliomys	quercinus	Eliomys	quercinus
Eliurus	antsingy	Eliurus	antsingy
Eliurus	carletoni	Eliurus	carletoni
Eliurus	grandidieri	Eliurus	grandidieri
Eliurus	majori	Eliurus	majori
Eliurus	minor	Eliurus	minor
Eliurus	myoxinus	Eliurus	myoxinus
Eliurus	tanala	Eliurus	tanala
Eliurus	webbi	Eliurus	webbi
Ellobius	talpinus	Ellobius	talpinus
Emballonura	atrata	Paremballonura	atrata
Enhydra	lutris	Enhydra	lutris
Eoglaucomys	fimbriatus	Eoglaucomys	fimbriatus
Eonycteris	major	Eonycteris	major
Eonycteris	robusta	Eonycteris	robusta
Eonycteris	spelaea	Eonycteris	spelaea
Eospalax	baileyi	Delete	Delete
Eospalax	cansus	Delete	Delete
Eospalax	fontanierii	Eospalax	fontanierii
Eospalax	rothschildi	Eospalax	rothschildi
Eospalax	rufescens	Delete	Delete
Eospalax	smithii	Eospalax	smithii
Eothenomys	cachinus	Eothenomys	cachinus
Eothenomys	chinensis	Eothenomys	chinensis
Eothenomys	custos	Eothenomys	custos
Eothenomys	eleusis	Delete	Delete
Eothenomys	eva	Caryomys	eva
Eothenomys	imaizumii	Delete	Delete
Eothenomys	inez	Caryomys	inez
Eothenomys	melanogaster	Eothenomys	melanogaster
Eothenomys	miletus	Eothenomys	miletus
Eothenomys	olitor	Eothenomys	olitor
Eothenomys	proditor	Eothenomys	proditor
Eothenomys	smithii	Myodes	smithii
Eothenomys	wardi	Eothenomys	wardi
Eozapus	setchuanus	Eozapus	setchuanus
Episoriculus	caudatus	Episoriculus	caudatus
Episoriculus	fumidus	Episoriculus	fumidus
Episoriculus	leucops	Episoriculus	leucops
Episoriculus	macrurus	Episoriculus	macrurus
Epixerus	wilsoni	Epixerus	ebii
Epomophorus	gambianus	Epomophorus	gambianus
Epomops	franqueti	Epomops	franqueti
Eptesicus	bobrinskoi	Eptesicus	bobrinskoi
Eptesicus	bottae	Eptesicus	bottae
Eptesicus	brasiliensis	Eptesicus	brasiliensis
Eptesicus	chiriquinus	Eptesicus	chiriquinus
Eptesicus	diminutus	Eptesicus	diminutus
Eptesicus	dimissus	Eptesicus	dimissus
Eptesicus	furinalis	Eptesicus	furinalis
Eptesicus	fuscus	Eptesicus	fuscus
Eptesicus	gobiensis	Eptesicus	gobiensis
Eptesicus	hottentotus	Eptesicus	hottentotus
Eptesicus	isabellinus	Eptesicus	isabellinus
Eptesicus	nasutus	Eptesicus	nasutus
Eptesicus	nilssoni	Eptesicus	nilssonii
Eptesicus	regulus	Vespadelus	regulus
Eptesicus	sagittula	Vespadelus	darlingtoni
Eptesicus	serotinus	Eptesicus	serotinus
Eptesicus	vulturnus	Vespadelus	vulturnus
Equus	asinus	Equus	africanus
Equus	burchellii	Equus	quagga
Equus	caballus	Equus	ferus
Equus	capensis	Delete	Delete
Equus	grevyi	Equus	grevyi
Equus	hemionus	Equus	hemionus
Equus	hydruntinus	Equus	hydruntinus
Equus	kiang	Equus	kiang
Equus	neogeus	Delete	Delete
Equus	przewalskii	Delete	Delete
Equus	zebra	Equus	zebra
Eremodipus	lichtensteini	Eremodipus	lichtensteini
Eremoryzomys	polius	Eremoryzomys	polius
Erethizon	dorsatum	Erethizon	dorsatum
Erignathus	barbatus	Erignathus	barbatus
Erinaceus	amurensis	Erinaceus	amurensis
Erinaceus	concolor	Erinaceus	concolor
Erinaceus	europaeus	Erinaceus	europaeus
Erinaceus	roumanicus	Erinaceus	roumanicus
Erophylla	sezekorni	Erophylla	sezekorni
Erythrocebus	patas	Erythrocebus	patas
Eubalaena	australis	Eubalaena	australis
Eubalaena	glacialis	Eubalaena	glacialis
Eubalaena	japonica	Eubalaena	japonica
Euchoreutes	naso	Euchoreutes	naso
Euderma	maculatum	Euderma	maculatum
Eudorcas	rufifrons	Eudorcas	rufifrons
Eudorcas	thomsonii	Eudorcas	thomsonii
Eulemur	albifrons	Eulemur	albifrons
Eulemur	coronatus	Eulemur	coronatus
Eulemur	fulvus	Eulemur	fulvus
Eulemur	mongoz	Eulemur	mongoz
Eulemur	rubriventer	Eulemur	rubriventer
Eulemur	rufus	Eulemur	rufus
Eumetopias	jubatus	Eumetopias	jubatus
Eumops	auripendulus	Eumops	auripendulus
Euoticus	elegantulus	Euoticus	elegantulus
Eupetaurus	cinereus	Eupetaurus	cinereus
Euphractus	sexcinctus	Euphractus	sexcinctus
Euroscaptor	malayana	Euroscaptor	klossi
Euroscaptor	mizura	Euroscaptor	mizura
Euryoryzomys	emmonsae	Euryoryzomys	emmonsae
Euryoryzomys	lamia	Euryoryzomys	lamia
Euryoryzomys	macconnelli	Euryoryzomys	macconnelli
Euryoryzomys	nitidus	Euryoryzomys	nitidus
Euryoryzomys	russatus	Euryoryzomys	russatus
Euryzygomatomys	spinosus	Euryzygomatomys	spinosus
Exilisciurus	concinnus	Exilisciurus	concinnus
Felis	catus	Delete	Delete
Felis	chaus	Felis	chaus
Felis	margarita	Felis	margarita
Felis	silvestris	Felis	silvestris
Feresa	attenuata	Feresa	attenuata
Fossa	fossana	Fossa	fossana
Fukomys	amatus	Delete	Delete
Fukomys	anselli	Fukomys	anselli
Fukomys	bocagei	Fukomys	bocagei
Fukomys	damarensis	Fukomys	damarensis
Fukomys	darlingi	Fukomys	darlingi
Fukomys	kafuensis	Fukomys	kafuensis
Fukomys	mechowii	Fukomys	mechowi
Fukomys	micklemi	Delete	Delete
Fukomys	whytei	Delete	Delete
Funambulus	palmarum	Funambulus	palmarum
Funisciurus	carruthersi	Funisciurus	carruthersi
Galago	alleni	Sciurocheirus	alleni
Galago	granti	Galagoides	granti
Galago	matschiei	Galago	matschiei
Galago	moholi	Galago	moholi
Galago	senegalensis	Galago	senegalensis
Galagoides	demidoff	Galagoides	demidovii
Galagoides	zanzibaricus	Galagoides	zanzibaricus
Galea	musteloides	Galea	musteloides
Galea	spixii	Galea	spixii
Galemys	pyrenaicus	Galemys	pyrenaicus
Galeopterus	variegatus	Galeopterus	variegatus
Galerella	nigrata	Herpestes	flavescens
Galerella	pulverulenta	Herpestes	pulverulentus
Galerella	sanguinea	Herpestes	sanguineus
Galictis	cuja	Galictis	cuja
Galictis	vittata	Galictis	vittata
Galidia	elegans	Galidia	elegans
Galidictis	fasciata	Galidictis	fasciata
Gazella	arabica	Delete	Delete
Gazella	bennettii	Gazella	bennettii
Gazella	cuvieri	Gazella	cuvieri
Gazella	dorcas	Gazella	dorcas
Gazella	gazella	Gazella	gazella
Gazella	leptoceros	Gazella	leptoceros
Gazella	saudiya	Gazella	saudiya
Gazella	spekei	Gazella	spekei
Gazella	subgutturosa	Gazella	subgutturosa
Genetta	angolensis	Genetta	angolensis
Genetta	bourloni	Genetta	bourloni
Genetta	cristata	Genetta	cristata
Genetta	felina	Delete	Delete
Genetta	genetta	Genetta	genetta
Genetta	johnstoni	Genetta	johnstoni
Genetta	maculata	Genetta	maculata
Genetta	pardina	Genetta	pardina
Genetta	poensis	Genetta	poensis
Genetta	servalina	Genetta	servalina
Genetta	thierryi	Genetta	thierryi
Genetta	tigrina	Genetta	tigrina
Geogale	aurita	Geogale	aurita
Geomys	arenarius	Geomys	arenarius
Geomys	attwateri	Geomys	attwateri
Geomys	breviceps	Geomys	breviceps
Geomys	bursarius	Geomys	bursarius
Geomys	knoxjonesi	Geomys	knoxjonesi
Geomys	personatus	Geomys	personatus
Geomys	pinetis	Geomys	pinetis
Geomys	streckeri	Delete	Delete
Geomys	texensis	Geomys	texensis
Georychus	capensis	Georychus	capensis
Gerbilliscus	robustus	Gerbilliscus	robustus
Gerbillurus	paeba	Gerbillurus	paeba
Gerbillurus	tytonis	Gerbillurus	tytonis
Gerbillus	gerbillus	Gerbillus	gerbillus
Gerbillus	nigeriae	Gerbillus	nigeriae
Glaucomys	volans	Glaucomys	volans
Glauconycteris	egeria	Glauconycteris	egeria
Glauconycteris	variegata	Glauconycteris	variegata
Glironia	venusta	Glironia	venusta
Glirulus	japonicus	Glirulus	japonicus
Glis	glis	Glis	glis
Glischropus	tylopus	Glischropus	tylopus
Globicephala	macrorhynchus	Globicephala	macrorhynchus
Globicephala	melas	Globicephala	melas
Glossophaga	soricina	Glossophaga	soricina
Glyphonycteris	sylvestris	Glyphonycteris	sylvestris
Golunda	ellioti	Golunda	ellioti
Gorilla	beringei	Gorilla	beringei
Gorilla	gorilla	Gorilla	gorilla
Gracilinanus	aceramarcae	Gracilinanus	aceramarcae
Gracilinanus	agilis	Gracilinanus	agilis
Gracilinanus	emiliae	Gracilinanus	emiliae
Gracilinanus	microtarsus	Gracilinanus	microtarsus
Grammomys	dolichurus	Grammomys	dolichurus
Grammomys	ibeanus	Grammomys	ibeanus
Grammomys	macmillani	Grammomys	macmillani
Grammomys	surdaster	Delete	Delete
Grampus	griseus	Grampus	griseus
Graomys	griseoflavus	Graomys	griseoflavus
Graphiurus	lorraineus	Graphiurus	lorraineus
Graphiurus	microtis	Graphiurus	microtis
Graphiurus	murinus	Graphiurus	murinus
Graphiurus	ocularis	Graphiurus	ocularis
Graphiurus	parvus	Graphiurus	kelleni
Graphiurus	platyops	Graphiurus	platyops
Gulo	gulo	Gulo	gulo
Gymnuromys	roberti	Gymnuromys	roberti
Habromys	chinanteco	Habromys	chinanteco
Habromys	delicatulus	Habromys	delicatulus
Habromys	ixtlani	Habromys	ixtlani
Habromys	lepturus	Habromys	lepturus
Habromys	lophurus	Habromys	lophurus
Habromys	schmidlyi	Habromys	schmidlyi
Habromys	simulatus	Habromys	simulatus
Halichoerus	grypus	Halichoerus	grypus
Handleyomys	alfaroi	Handleyomys	alfaroi
Handleyomys	intectus	Handleyomys	intectus
Handleyomys	rostratus	Handleyomys	rostratus
Handleyomys	saturatior	Handleyomys	saturatior
Hapalemur	aureus	Hapalemur	aureus
Hapalemur	griseus	Hapalemur	griseus
Hapalemur	occidentalis	Hapalemur	occidentalis
Hapalemur	simus	Prolemur	simus
Haplonycteris	fischeri	Haplonycteris	fischeri
Harpiocephalus	harpia	Harpiocephalus	harpia
Harpiola	isodon	Harpiola	isodon
Harpyionycteris	celebensis	Harpyionycteris	celebensis
Harpyionycteris	whiteheadi	Harpyionycteris	whiteheadi
Heimyscus	fumosus	Heimyscus	fumosus
Helarctos	malayanus	Helarctos	malayanus
Heliophobius	argenteocinereus	Heliophobius	argenteocinereus
Heliosciurus	ruwenzorii	Heliosciurus	ruwenzorii
Heliosciurus	undulatus	Heliosciurus	undulatus
Helogale	hirtula	Helogale	hirtula
Hemibelideus	lemuroides	Hemibelideus	lemuroides
Hemicentetes	semispinosus	Hemicentetes	semispinosus
Hemiechinus	auritus	Hemiechinus	auritus
Hemitragus	hylocrius	Nilgiritragus	hylocrius
Hemitragus	jayakari	Arabitragus	jayakari
Herpailurus	yaguarondi	Herpailurus	yagouaroundi
Herpestes	auropunctatus	Herpestes	auropunctatus
Herpestes	brachyurus	Herpestes	brachyurus
Herpestes	edwardsii	Herpestes	edwardsii
Herpestes	fuscus	Herpestes	fuscus
Herpestes	ichneumon	Herpestes	ichneumon
Herpestes	javanicus	Herpestes	javanicus
Herpestes	smithii	Herpestes	smithii
Herpestes	urva	Herpestes	urva
Hesperoptenus	blanfordi	Hesperoptenus	blanfordi
Hesperoptenus	tickelli	Hesperoptenus	tickelli
Hesperoptenus	tomesi	Hesperoptenus	tomesi
Heterocephalus	glaber	Heterocephalus	glaber
Heterohyrax	brucei	Heterohyrax	brucei
Heteromys	anomalus	Heteromys	anomalus
Heteromys	australis	Heteromys	australis
Heteromys	desmarestianus	Heteromys	desmarestianus
Heteromys	gaumeri	Heteromys	gaumeri
Heteromys	nelsoni	Heteromys	nelsoni
Heteromys	nubicolens	Delete	Delete
Heteromys	oresterus	Heteromys	oresterus
Hexaprotodon	liberiensis	Choeropsis	liberiensis
Hippidion	devillei	Hippidion	devillei
Hippidion	saldiasi	Hippidion	principale
Hippocamelus	antisensis	Hippocamelus	antisensis
Hippocamelus	bisulcus	Hippocamelus	bisulcus
Hippopotamus	amphibius	Hippopotamus	amphibius
Hipposideros	abae	Hipposideros	abae
Hipposideros	armiger	Hipposideros	armiger
Hipposideros	ater	Hipposideros	ater
Hipposideros	bicolor	Hipposideros	bicolor
Hipposideros	boeadii	Hipposideros	boeadii
Hipposideros	caffer	Hipposideros	caffer
Hipposideros	calcaratus	Hipposideros	calcaratus
Hipposideros	cervinus	Hipposideros	cervinus
Hipposideros	cineraceus	Hipposideros	cineraceus
Hipposideros	commersoni	Hipposideros	commersoni
Hipposideros	coronatus	Hipposideros	coronatus
Hipposideros	coxi	Hipposideros	coxi
Hipposideros	cyclops	Hipposideros	cyclops
Hipposideros	diadema	Hipposideros	diadema
Hipposideros	dinops	Hipposideros	dinops
Hipposideros	doriae	Hipposideros	doriae
Hipposideros	dyacorum	Hipposideros	dyacorum
Hipposideros	fuliginosus	Hipposideros	fuliginosus
Hipposideros	fulvus	Hipposideros	fulvus
Hipposideros	galeritus	Hipposideros	galeritus
Hipposideros	gigas	Hipposideros	gigas
Hipposideros	grandis	Hipposideros	grandis
Hipposideros	griffini	Delete	Delete
Hipposideros	halophyllus	Hipposideros	halophyllus
Hipposideros	jonesi	Hipposideros	jonesi
Hipposideros	khaokhouayensis	Hipposideros	khaokhouayensis
Hipposideros	khasiana	Delete	Delete
Hipposideros	lankadiva	Hipposideros	lankadiva
Hipposideros	larvatus	Hipposideros	larvatus
Hipposideros	lekaguli	Hipposideros	lekaguli
Hipposideros	lylei	Hipposideros	lylei
Hipposideros	obscurus	Hipposideros	obscurus
Hipposideros	pelingensis	Hipposideros	pelingensis
Hipposideros	pomona	Hipposideros	pomona
Hipposideros	pratti	Hipposideros	pratti
Hipposideros	pygmaeus	Hipposideros	pygmaeus
Hipposideros	ridleyi	Hipposideros	ridleyi
Hipposideros	rotalis	Hipposideros	rotalis
Hipposideros	ruber	Hipposideros	ruber
Hipposideros	scutinares	Hipposideros	scutinares
Hipposideros	speoris	Hipposideros	speoris
Hipposideros	terasensis	Delete	Delete
Hippotragus	equinus	Hippotragus	equinus
Hippotragus	leucophaeus	Hippotragus	leucophaeus
Histiotus	macrotus	Histiotus	macrotus
Histiotus	magellanicus	Histiotus	magellanicus
Hodomys	alleni	Hodomys	alleni
Holochilus	brasiliensis	Holochilus	brasiliensis
Holochilus	chacarius	Holochilus	chacarius
Holochilus	sciureus	Holochilus	sciureus
Homo	sapiens	Homo	sapiens
Hoolock	hoolock	Hoolock	hoolock
Hoolock	leuconedys	Hoolock	leuconedys
Hoplomys	gymnurus	Hoplomys	gymnurus
Hyaena	hyaena	Hyaena	hyaena
Hybomys	univittatus	Hybomys	univittatus
Hydrictis	maculicollis	Hydrictis	maculicollis
Hydrochoerus	hydrochaeris	Hydrochoerus	hydrochaeris
Hydromys	chrysogaster	Hydromys	chrysogaster
Hydropotes	inermis	Hydropotes	inermis
Hydrurga	leptonyx	Hydrurga	leptonyx
Hyemoschus	aquaticus	Hyemoschus	aquaticus
Hyladelphys	kalinowskii	Hyladelphys	kalinowskii
Hylaeamys	acritus	Hylaeamys	acritus
Hylaeamys	laticeps	Hylaeamys	laticeps
Hylaeamys	megacephalus	Hylaeamys	megacephalus
Hylaeamys	perenensis	Hylaeamys	perenensis
Hylaeamys	yunganus	Hylaeamys	yunganus
Hylobates	agilis	Hylobates	agilis
Hylobates	klossii	Hylobates	klossii
Hylobates	lar	Hylobates	lar
Hylobates	moloch	Hylobates	moloch
Hylobates	muelleri	Hylobates	muelleri
Hylobates	pileatus	Hylobates	pileatus
Hylochoerus	meinertzhageni	Hylochoerus	meinertzhageni
Hylomys	parvus	Hylomys	parvus
Hylomys	suillus	Hylomys	suillus
Hylomyscus	aeta	Hylomyscus	aeta
Hylomyscus	alleni	Hylomyscus	alleni
Hylomyscus	baeri	Hylomyscus	baeri
Hylomyscus	denniae	Hylomyscus	denniae
Hylomyscus	grandis	Hylomyscus	grandis
Hylomyscus	kaimosae	Delete	Delete
Hylomyscus	pamfi	Hylomyscus	pamfi
Hylomyscus	parvus	Hylomyscus	parvus
Hylomyscus	simus	Delete	Delete
Hylomyscus	stella	Hylomyscus	stella
Hylomyscus	walterverheyeni	Hylomyscus	walterverheyeni
Hylonycteris	underwoodi	Hylonycteris	underwoodi
Hylopetes	phayrei	Hylopetes	phayrei
Hyomys	goliath	Hyomys	goliath
Hyperoodon	ampullatus	Hyperoodon	ampullatus
Hyperoodon	planifrons	Hyperoodon	planifrons
Hypogeomys	antimena	Hypogeomys	antimena
Hypsignathus	monstrosus	Hypsignathus	monstrosus
Hypsiprymnodon	moschatus	Hypsiprymnodon	moschatus
Hypsugo	alaschanicus	Pipistrellus	alaschanicus
Hypsugo	anchietae	Pipistrellus	anchietae
Hypsugo	ariel	Pipistrellus	ariel
Hypsugo	cadornae	Pipistrellus	cadornae
Hypsugo	eisentrauti	Pipistrellus	eisentrauti
Hypsugo	savii	Pipistrellus	savii
Hystrix	africaeaustralis	Hystrix	africaeaustralis
Hystrix	brachyurus	Hystrix	brachyura
Hystrix	cristata	Hystrix	cristata
Hystrix	indica	Hystrix	indica
Ia	io	Ia	io
Ichneumia	albicauda	Ichneumia	albicauda
Ictonyx	libyca	Ictonyx	libycus
Ictonyx	striatus	Ictonyx	striatus
Idionycteris	phyllotis	Idionycteris	phyllotis
Idiurus	macrotis	Idiurus	macrotis
Indopacetus	pacificus	Indopacetus	pacificus
Indri	indri	Indri	indri
Inia	geoffrensis	Inia	geoffrensis
Irenomys	tarsalis	Irenomys	tarsalis
Isoodon	auratus	Isoodon	auratus
Isoodon	macrourus	Isoodon	macrourus
Isoodon	obesulus	Isoodon	obesulus
Isothrix	negrensis	Isothrix	negrensis
Isothrix	orinoci	Isothrix	orinoci
Isthmomys	pirrensis	Isthmomys	pirrensis
Jaculus	blanfordi	Jaculus	blanfordi
Jaculus	jaculus	Jaculus	jaculus
Jaculus	orientalis	Jaculus	orientalis
Kannabateomys	amblyonyx	Kannabateomys	amblyonyx
Kerivoula	hardwickii	Kerivoula	hardwickii
Kerivoula	intermedia	Kerivoula	intermedia
Kerivoula	kachinensis	Kerivoula	kachinensis
Kerivoula	krauensis	Kerivoula	krauensis
Kerivoula	lenis	Kerivoula	lenis
Kerivoula	papillosa	Kerivoula	papillosa
Kerivoula	pellucida	Kerivoula	pellucida
Kerivoula	whiteheadi	Kerivoula	whiteheadi
Kerodon	rupestris	Kerodon	rupestris
Kobus	leche	Kobus	leche
Kobus	vardonii	Kobus	vardonii
Kogia	breviceps	Kogia	breviceps
Kogia	sima	Kogia	sima
Laephotis	namibensis	Laephotis	namibensis
Laephotis	wintoni	Laephotis	wintoni
Lagenodelphis	hosei	Lagenodelphis	hosei
Lagenorhynchus	australis	Lagenorhynchus	australis
Lagenorhynchus	obliquidens	Lagenorhynchus	obliquidens
Lagenorhynchus	obscurus	Lagenorhynchus	obscurus
Lagorchestes	conspicillatus	Lagorchestes	conspicillatus
Lagorchestes	hirsutus	Lagorchestes	hirsutus
Lagostrophus	fasciatus	Lagostrophus	fasciatus
Lagothrix	cana	Lagothrix	cana
Lagothrix	lagotricha	Lagothrix	lagotricha
Lama	glama	Delete	Delete
Lama	guanicoe	Lama	guanicoe
Laonastes	aenigmamus	Laonastes	aenigmamus
Lasionycteris	noctivagans	Lasionycteris	noctivagans
Lasiopodomys	brandtii	Lasiopodomys	brandtii
Lasiopodomys	fuscus	Lasiopodomys	fuscus
Lasiopodomys	mandarinus	Lasiopodomys	mandarinus
Lasiorhinus	latifrons	Lasiorhinus	latifrons
Lasiurus	atratus	Lasiurus	atratus
